timestamp,botid,coordinates_long,coordinates_lat,accel_vec_x,accel_vec_y,accel_vec_z,orientation_delta_x,orientation_delta_y,orientation_delta_z
1499099424,6E5,24.670851,59.397489,0.057181648910045624,-0.01967734843492508,-0.9467087984085083,-0.00026718154549598694,-0.0004382142797112465,-0.00017495173960924149
1499099425,6E5,24.670832,59.397487,0.028983401134610176,0.08090858906507492,-0.9789353609085083,0.00031242333352565765,0.0002402113750576973,5.7052820920944214e-05
1499099426,6E5,24.670821,59.397486,-0.059151358902454376,-0.14626425504684448,-0.9429246187210083,3.93204391002655e-05,-7.894262671470642e-05,0.0003776801750063896
1499099427,6E5,24.670806,59.397484,-0.04069375991821289,-0.0692128986120224,-1.1286907196044922,-0.00022307038307189941,0.0014763884246349335,5.406327545642853e-05
1499099428,6E5,24.670783,59.397481,0.0702681764960289,-0.0339345745742321,-0.9620646834373474,-0.00039873551577329636,-0.0002147238701581955,0.0002307044342160225
1499099429,6E5,24.670763,59.397478,-0.0914749950170517,0.0339365191757679,-1.0027140378952026,-3.9735808968544006e-05,-0.0004924386739730835,-0.0006595514714717865
1499099430,6E5,24.670743,59.397475,0.019633982330560684,0.021022066473960876,-1.0970994234085083,4.133488982915878e-05,0.0006902460008859634,3.422889858484268e-05
1499099431,6E5,24.670722,59.397473,-0.009784945286810398,0.059962496161460876,-0.9415818452835083,9.747687727212906e-05,0.0002103084698319435,-4.5768916606903076e-05
1499099432,6E5,24.670706,59.397471,-0.008320106193423271,-0.044773831963539124,-0.9811326265335083,0.0005112122744321823,0.00013474561274051666,0.00020845048129558563
1499099433,6E5,24.670698,59.39747,0.013505474664270878,-0.008493948727846146,-0.9919719099998474,-2.1061860024929047e-05,-1.835450530052185e-05,-1.4926306903362274e-05
1499099438,6E5,24.6707,59.397471,0.021317971870303154,-0.016062308102846146,-1.0220012664794922,-1.959502696990967e-06,-0.00022503267973661423,8.98074358701706e-06
1499099439,6E5,24.6707,59.397471,-0.2443070411682129,-0.07514433562755585,-1.1662882566452026,0.0028948094695806503,0.006197093054652214,-0.0029719630256295204
