"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"77","6D100",1501494601,24.6714255,59.400037,3,59.4001955,24.672769
"78","6D100",1501494667,24.6727975,59.400199,4,59.4003985,24.674447
"79","6D100",1501494727,24.6744735,59.400402,4,59.4005516666667,24.6757293333333
"80","6D100",1501494803,24.6757595,59.400555,4,59.400909,24.676803
"81","6D100",1501494884,24.676803,59.400909,4,59.401476,24.677407
"82","6D100",1501494946,24.6774075,59.4014765,4,59.4020755,24.6780455
"83","6D100",1501495006,24.678049,59.402079,4,59.402368,24.678348
"84","6D100",1501495140,24.6783605,59.40238,4,59.4029953333333,24.679005
"85","6D100",1501495213,24.6790205,59.403011,4,59.4037635,24.6798165
"86","6D100",1501495273,24.67983,59.403776,4,59.4043965,24.680479
"87","6D100",1501495341,24.6804925,59.4044095,4,59.404832,24.680862
"88","6D100",1501495445,24.680862,59.404832,3,59.4050805,24.6803675
"89","6D100",1501495505,24.680336,59.4050825,4,59.4051395,24.6786505
"90","6D100",1501495565,24.6786225,59.40514,4,59.405119,24.6774135
"91","6D100",1501495641,24.6773816666667,59.405118,4,59.4050025,24.675942
"92","6D100",1501495701,24.6759105,59.4049995,4,59.404835,24.674572
"93","6D100",1501495765,24.674572,59.404835,4,59.4046635,24.6734695
"94","6D100",1501495835,24.673463,59.4046623333333,4,59.404511,24.6722225
"95","6D100",1501495914,24.672192,59.404507,4,59.404328,24.670745
"96","6D100",1501495974,24.6707436666667,59.404328,4,59.404231,24.670064
"97","6D100",1501496344,24.670063,59.404232,3,59.4042155,24.66934
"98","6D100",1501496467,24.669328,59.404214,3,59.4039486666667,24.668915
"99","6D100",1501496550,24.6689185,59.4039405,3,59.403779,24.6680655
"100","6D100",1501496627,24.6680465,59.4037765,4,59.4036195,24.6667975
"101","6D100",1501496696,24.6667695,59.4036165,4,59.403405,24.665133
"102","6D100",1501496756,24.6651055,59.403401,4,59.4030435,24.6638335
"103","6D100",1501496823,24.663809,59.4030335,4,59.402587,24.6628435
"104","6D100",1501496888,24.662845,59.402587,4,59.402139,24.661895
"105","6D100",1501496953,24.661896,59.402139,4,59.401749,24.6610805
"106","6D100",1501497019,24.6610575,59.401739,4,59.4012745,24.660098
